,Rank,Company,Industry,Address,City,State / Country,Postal Code,Country,"Revenue (in millions, USD)",Employees,Ticker,Website,CEO,Indian_cities,Department_in_india
0,1,Walmart,General Merchandisers,702 S.W. Eighth St.,Bentonville,Arkansas,72716,U.S.,"$572,754",2300000.0,WMT,www.walmart.com,C. Douglas Mcmillon,"['Bangalore', 'Gurugram', 'Hyderabad', 'Mumbai', 'New Delhi', 'Pune']","['E-commerce', 'Technology', 'Data Analytics', 'Finance', 'Human Resources', 'Supply Chain', 'Marketing', 'Customer Service', 'Operations', 'Legal']"
1,2,Amazon.com,Internet Services and Retailing,410 Terry Ave. N.,Seattle,Washington,98109,U.S.,"$469,822",1608000.0,AMZN,www.amazon.com,Andrew R. Jassy,"['Bangalore', 'Hyderabad', 'Chennai', 'Gurgaon']","['Technology', 'Operations', 'Customer Service', 'Business Development', 'Finance', 'Human Resources', 'Marketing']"
2,3,State Grid,Utilities,86 Xichang'an Ave.,Beijing,China,100031,China,"$460,617",871145.0,,www.sgcc.com.cn,,[],[]
3,4,China National Petroleum,Petroleum Refining,9 Dongzhimen N. St.,Beijing,China,100007,China,"$411,693",1090345.0,,www.cnpc.com.cn,Li Fanrong,"['New Delhi', 'Mumbai', 'Chennai', 'Kolkata']","['Exploration and Production', 'Refining and Marketing', 'Petrochemicals', 'Engineering and Construction']"
4,5,Sinopec Group,Petroleum Refining,22 Chaoyangmen N. St.,Beijing,China,100728,China,"$401,314",542286.0,,www.sinopec.com,,[],"['Sinopec Group does not currently have offices in India, and therefore, does not directly hire in India.']"
5,6,Saudi Aramco,"Mining, Crude-Oil Production",P.O. Box 5000,Dhahran,Saudi Arabia,31311,Saudi Arabia,"$400,399",68493.0,,www.aramco.com,Amin H. Nasser,"['Mumbai', 'New Delhi']","['Upstream', 'Downstream', 'Corporate']"
6,7,Apple,"Computers, Office Equipment",1 Apple Park Way,Cupertino,California,95014,U.S.,"$365,817",154000.0,AAPL,www.apple.com,Timothy D. Cook,"['Bangalore', 'Hyderabad', 'Gurgaon']","['Engineering', 'Sales', 'Marketing', 'Finance', 'Customer Support', 'Operations']"
7,8,Volkswagen,Motor Vehicles & Parts,Berliner Ring 2,Wolfsburg,Germany,38440,Germany,"$295,820",672789.0,VWAGY,www.volkswagenag.com,Herbert Diess,"['Pune', 'Gurgaon', 'Chennai', 'Mumbai']","['Engineering', 'Sales & Marketing', 'Finance', 'Human Resources', 'IT', 'Manufacturing']"
8,9,China State Construction Engineering,Engineering & Construction,5 Anding Rd.,Beijing,China,100029,China,"$293,712",368327.0,,www.cscec.com,Zhou Naixiang,[],['China State Construction Engineering does not have any offices or hiring operations in India.']
9,10,CVS Health,Health Care: Pharmacy and Other Services,1 CVS Dr.,Woonsocket,Rhode Island,02895,U.S.,"$292,111",258000.0,CVS,www.cvshealth.com,Karen S. Lynch,[],"['CVS Health does not currently have offices or directly hire employees in India. However, they may have partnerships with Indian companies or outsource certain operations to India.']"
10,11,UnitedHealth Group,Health Care: Insurance and Managed Care,9900 Bren Rd. E.,Minnetonka,Minnesota,55343,U.S.,"$287,597",350000.0,UNH,www.unitedhealthgroup.com,Andrew P. Witty,"['Bangalore', 'Hyderabad', 'Mumbai', 'Gurgaon']","['Technology', 'Operations', 'Finance', 'Sales', 'Marketing']"
11,12,Exxon Mobil,Petroleum Refining,5959 Las Colinas Blvd.,Irving,Texas,75039,U.S.,"$285,640",63000.0,XOM,www.exxonmobil.com,Darren W. Woods,"['New Delhi', 'Mumbai', 'Chennai', 'Kolkata']","['Upstream', 'Downstream', 'Chemicals', 'Corporate']"
12,13,Toyota Motor,Motor Vehicles & Parts,1 Toyota-cho,Toyota,Japan,471-8571,Japan,"$279,338",372817.0,TM,www.global.toyota/en/,,"['Bangalore', 'Chennai', 'Delhi', 'Gurgaon', 'Hyderabad', 'Kolkata', 'Mumbai', 'Pune']","['Manufacturing', 'Engineering', 'Sales & Marketing', 'Finance', 'Human Resources', 'Information Technology', 'Research & Development']"
